Title: Infrared Fluxes and Light Curves of Near-Earth Objects: The
    full Spitzer Sample
Authors: Hora, J.L., Allen, A.J., Trilling, D.E., Smith, H.A., McNeill, A.
Table: NEO Period Lower Limits (<1 Full Period Sampled)
================================================================================
Byte-by-byte Description of file: ajadbf99t5_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label       Explanations
--------------------------------------------------------------------------------
   1- 10 A10    ---     Designation  Provisional Designation
  12- 15 F4.1   h       PeriodLL     Period Lower Limit
  17- 24 E8.2   ---     FAP          False Alarm Probability
  26- 29 F4.2   ---     Numperiods   Approximate Number of periods
  31- 33 I3     ---     Frames       IRAC frames used
  35- 46 F12.6  d       StartMJD     Start MJD of first frame, JD-2,400,000.5
  48- 51 F4.2   h       Duration     Duration of observation
--------------------------------------------------------------------------------
1971 UA     1.4 1.25E-09 0.25  24 55201.241826 0.35 
1968 AA     5.2 3.24E-49 0.50 140 57133.229676 2.58 
1978 DA     5.2 3.25E-14 0.45  56 57919.492040 2.33 
1990 TG1    2.4 6.44E-12 1.00  62 57540.413383 2.43 
1990 XJ     4.2 4.01E-38 0.65 120 57318.679991 2.70 
1991 CB1    5.8 3.89E-99 0.91 933 55724.298690 5.25 
1992 SY     2.3 4.82E-07 0.80  50 57529.959422 1.81 
1994 LW    13.0 7.59E-26 0.70 113 55772.963104 9.09 
1998 MZ     2.4 8.36E-08 0.75  48 57277.992492 1.81 
1998 SJ2    2.0 4.38E-11 0.90  49 58746.951334 1.82 
1998 ST4    5.4 1.16E-16 0.45  55 58271.522096 2.42 
1998 XA5    4.4 3.35E-03 0.55  55 58228.589408 2.42 
1999 ED5    1.0 5.73E-05 2.50  63 58150.504354 2.42 
1999 JO8    2.4 7.11E-37 0.95 122 57636.191646 2.26 
1999 LD30   3.2 2.42E-17 0.75  61 58383.662326 2.42 
1999 LU7    1.8 2.91E-07 0.40  22 57061.293281 0.71 
1999 RQ36   4.3 1.97E-07 1.08 164 56160.090364 4.67 
1999 TF211  2.8 4.98E-03 1.10  89 57098.561175 3.03 
1999 VT25   5.0 3.64E-34 0.60  87 57457.023732 3.00 
1999 XM141  2.5 1.66E-05 0.95  64 57698.397117 2.42 
2000 CG59   6.7 4.63E-05 0.45  83 57064.544967 3.03 
2000 OM     3.3 1.21E-04 0.75  27 55801.847918 2.48 
2000 PN9    4.7 1.23E-32 0.50 188 57337.682481 2.36 
2000 SH8    4.5 2.51E-25 0.40  49 57547.524327 1.78 
2000 SR43   1.1 2.56E-03 0.60  21 57778.765283 0.68 
2000 SS164  5.4 2.15E-07 0.45  60 57800.773931 2.42 
2000 XK47   3.0 8.53E-27 0.80 139 57638.098105 2.43 
2001 BY15   3.6 2.11E-41 0.50  42 58299.212652 1.81 
2001 DC77   4.4 2.77E-05 0.55  62 58029.269270 2.43 
2001 DF47   3.2 1.80E-06 0.75  56 57686.917254 2.39 
2001 JL1    3.6 8.33E-09 0.50  47 58026.980784 1.78 
2001 KY66   3.9 4.18E-05 0.45  48 57643.397572 1.75 
2001 QM142  3.5 4.27E-06 0.70  55 58314.892663 2.42 
2002 AW     3.7 4.02E-11 0.65  65 57801.681718 2.42 
2002 BN     4.8 3.57E-20 0.50  54 58258.238535 2.39 
2002 CD14   2.6 4.48E-16 0.70  49 57577.324073 1.82 
2002 CF26   3.2 2.31E-10 0.75  58 58253.974760 2.39 
2002 CZ46   6.7 4.15E-28 0.45  80 57204.378892 3.04 
2002 KK3    4.8 2.87E-13 0.50  64 58013.274140 2.42 
2002 PG80   0.6 1.13E-02 0.60  26 57761.122094 0.35 
2002 RM129  1.8 4.69E-06 0.40  19 57376.814044 0.71 
2002 RR25   3.2 6.64E-06 0.95  76 57302.885771 3.04 
2002 TB69   1.8 2.60E-04 0.40  19 58137.119958 0.71 
2002 TD60   1.9 1.56E-11 0.95  49 57616.338881 1.78 
2002 TY57   1.6 1.13E-04 0.45  22 57407.036807 0.71 
2003 EF54   1.9 1.46E-03 0.65  17 55716.563742 1.24 
2003 KQ18   5.5 2.94E-07 0.55  82 57272.242611 3.01 
2003 KW16   2.7 3.56E-03 0.90  64 57770.116404 2.39 
2003 NO4    2.3 4.23E-05 0.80  54 57060.881418 1.81 
2003 UR12   4.0 1.03E-35 0.45  49 58338.008826 1.81 
2003 XE     3.6 1.07E-30 0.50  50 57138.126395 1.81 
2004 FH11   2.4 9.70E-06 0.75  44 58013.381280 1.81 
2004 FN18   4.5 4.61E-03 0.40  48 57918.299622 1.81 
2004 LB6    1.6 9.37E-06 0.45  21 57072.090874 0.71 
2004 RQ10   4.4 3.53E-04 0.55  63 58807.504513 2.42 
2004 SD20   4.5 3.86E-09 0.40  51 57650.093222 1.78 
2004 ST9    4.8 1.45E-21 0.50  63 58031.047475 2.42 
2004 SZ19   4.0 2.57E-12 0.45  46 58460.970131 1.81 
2005 EZ29   2.3 1.75E-07 0.80  53 57223.067430 1.81 
2005 HN3    6.0 7.76E-21 0.50  80 57230.603939 3.00 
2005 LG8    4.0 8.92E-19 0.45  52 57153.393035 1.81 
2005 ML13  12.7 3.19E-55 0.40  90 55803.781589 5.09 
2005 NX44   4.8 2.07E-18 0.50  56 58387.342948 2.42 
2005 TB     4.4 1.83E-07 0.40  49 57499.244752 1.75 
2005 TP     1.0 4.92E-03 0.70  21 57512.514776 0.71 
2005 XY     7.6 9.44E-59 0.40  85 57060.471495 3.03 
2005 YY128  0.9 6.54E-09 0.40  26 57770.925208 0.35 
2006 CV     0.4 2.97E-17 0.90  45 58271.852705 0.33 
2006 EC1    2.1 1.27E-05 0.85  55 57677.891902 1.78 
2006 GA1    4.4 2.88E-19 0.40  47 57146.703453 1.75 
2006 UL185  3.0 2.35E-04 0.60  49 57406.824201 1.78 
2007 LB15   3.2 2.45E-15 0.75  62 57732.389229 2.42 
2007 TB23   4.0 2.49E-30 0.45  51 57078.185081 1.81 
2007 TG15   5.3 2.06E-08 0.45  64 58182.429448 2.39 
2008 CL72   4.4 3.32E-14 0.55  58 58372.217767 2.39 
2008 EC69   3.0 3.02E-05 0.80  65 58098.510220 2.39 
2008 GD     5.4 3.24E-19 0.45  59 57916.819608 2.42 
2008 GF     6.0 1.27E-26 0.40  69 57962.808967 2.42 
2008 GV3    2.6 4.19E-09 0.70  45 57403.505914 1.81 
2008 GX     4.8 5.49E-12 0.50  62 58373.979537 2.39 
2008 JM20   3.0 1.10E-09 0.60  50 57603.163015 1.81 
2008 KD6    3.2 9.69E-03 0.55  47 57519.825019 1.78 
2008 QV11   3.2 1.58E-04 0.75  60 58382.085036 2.39 
2008 RJ1    0.8 1.93E-17 0.40  39 58025.462686 0.33 
2008 UD1    4.0 1.55E-23 0.45  46 58209.727797 1.81 
2009 AK15   4.0 1.36E-15 0.60  61 57721.125673 2.42 
2009 CS1    7.6 9.38E-24 0.40  75 57320.038761 3.04 
2009 DF1    3.1 6.34E-05 0.75  64 58012.023810 2.36 
2009 WR6    3.0 5.98E-17 0.60  47 57516.042430 1.81 
2010 GP67   5.5 4.19E-04 0.45  29 55725.662746 2.48 
2010 RO82  12.9 2.72E-20 0.40  63 55743.839206 5.14 
2010 XD25   7.6 1.24E-46 0.40  82 57102.707722 3.03 
2011 BX18   3.9 4.17E-19 0.65  40 55727.658543 2.55 
2011 EW29   3.9 3.67E-20 0.45  48 57973.475310 1.75 
2011 GM44   2.8 3.84E-22 0.65  52 57205.265829 1.81 
2011 HQ     4.0 5.17E-18 0.45  50 57957.013645 1.82 
2011 MD5    3.2 2.45E-12 0.95  86 57450.681639 3.03 
2011 SD173  4.7 2.40E-22 0.65  90 57168.358186 3.03 
2011 SM68   6.1 6.30E-38 0.50  85 57054.411810 3.03 
2012 AT10   4.9 5.39E-40 0.60  79 57182.262432 2.94 
2012 FL35   5.4 2.32E-40 0.45  66 58217.961612 2.42 
2012 OC1    5.5 6.30E-12 0.55  73 57487.911226 3.04 
2012 SQ56   2.5 8.94E-09 0.95  67 58260.320945 2.39 
2012 TY52   6.1 3.48E-15 0.40  59 57791.968455 2.42 
2012 WG32   4.0 9.83E-05 0.75  83 57120.014078 3.04 
2013 CW32   1.3 4.69E-04 0.55  21 57886.244131 0.71 
2013 GR38   3.2 5.25E-19 0.55  40 57393.981806 1.78 
2013 GZ79   5.5 2.65E-36 0.55  87 57312.614759 3.04 
2013 KY1    4.0 1.72E-67 0.60  74 58019.408740 2.39 
2013 LC7    4.8 2.73E-13 0.50  61 57924.119742 2.42 
2013 MR     6.7 1.41E-13 0.45  77 57625.837966 3.03 
2013 WT44   4.8 8.25E-10 0.50  64 58008.412931 2.39 
2013 XE22   5.3 5.09E-17 0.45  58 58038.323763 2.39 
2014 AR46   2.2 2.44E-16 0.80  44 57593.244870 1.78 
2014 EH45   3.8 5.13E-09 0.80  75 57373.980077 3.04 
2014 NF64   2.8 3.70E-03 0.65  57 57074.985004 1.81 
2014 PG51   6.7 5.31E-14 0.45  88 57343.276682 3.03 
2014 TF17   6.1 9.89E-14 0.40  59 57988.245895 2.43 
2014 UH175  3.2 1.09E-03 0.75  55 58373.528324 2.39 
2014 YJ14   4.5 7.34E-22 0.40  54 58211.657467 1.81 
2015 NJ3    3.2 6.36E-17 0.75  66 58019.851817 2.39 
2015 VO66   3.5 3.18E-16 0.70  63 57887.179645 2.42 
2016 LG     4.3 6.69E-15 0.55  61 58364.663796 2.39 
6344 P-L    6.0 2.17E-54 0.40  68 57900.611261 2.42 
